cycle,capacity_ah,voltage_avg,temperature_c,coulomb_efficiency
1,2.5188,3.65,25.0,0.995
2,2.5176,3.65,25.0,0.995
3,2.5164,3.65,25.0,0.995
4,2.5152,3.65,25.0,0.995
5,2.5140,3.65,25.0,0.995
6,2.5128,3.65,25.0,0.995
7,2.5116,3.65,25.0,0.995
8,2.5104,3.65,25.0,0.995
9,2.5092,3.65,25.0,0.995
10,2.5080,3.65,25.0,0.995
11,2.5068,3.65,25.0,0.995
12,2.5056,3.65,25.0,0.995
13,2.5044,3.65,25.0,0.995
14,2.5032,3.65,25.0,0.995
15,2.5020,3.65,25.0,0.995
16,2.5008,3.65,25.0,0.995
17,2.4996,3.65,25.0,0.995
18,2.4984,3.65,25.0,0.995
19,2.4972,3.65,25.0,0.995
20,2.4960,3.65,25.0,0.995
21,2.4948,3.65,25.0,0.995
22,2.4936,3.65,25.0,0.995
23,2.4924,3.65,25.0,0.995
24,2.4912,3.65,25.0,0.995
25,2.4900,3.65,25.0,0.995
26,2.4888,3.65,25.0,0.995
27,2.4876,3.65,25.0,0.995
28,2.4864,3.65,25.0,0.995
29,2.4852,3.65,25.0,0.995
30,2.4840,3.65,25.0,0.995
31,2.4828,3.65,25.0,0.995
32,2.4816,3.65,25.0,0.995
33,2.4804,3.65,25.0,0.995
34,2.4792,3.65,25.0,0.995
35,2.4780,3.65,25.0,0.995
36,2.4768,3.65,25.0,0.995
37,2.4756,3.65,25.0,0.995
38,2.4744,3.65,25.0,0.995
39,2.4732,3.65,25.0,0.995
40,2.4720,3.65,25.0,0.995
41,2.4708,3.65,25.0,0.995
42,2.4696,3.65,25.0,0.995
43,2.4684,3.65,25.0,0.995
44,2.4672,3.65,25.0,0.995
45,2.4660,3.65,25.0,0.995
46,2.4648,3.65,25.0,0.995
47,2.4636,3.65,25.0,0.995
48,2.4624,3.65,25.0,0.995
49,2.4612,3.65,25.0,0.995
50,2.4600,3.65,25.0,0.995
51,2.4588,3.65,25.0,0.995
52,2.4576,3.65,25.0,0.995
53,2.4564,3.65,25.0,0.995
54,2.4552,3.65,25.0,0.995
55,2.4540,3.65,25.0,0.995
56,2.4528,3.65,25.0,0.995
57,2.4516,3.65,25.0,0.995
58,2.4504,3.65,25.0,0.995
59,2.4492,3.65,25.0,0.995
60,2.4480,3.65,25.0,0.995
61,2.4468,3.65,25.0,0.995
62,2.4456,3.65,25.0,0.995
63,2.4444,3.65,25.0,0.995
64,2.4432,3.65,25.0,0.995
65,2.4420,3.65,25.0,0.995
66,2.4408,3.65,25.0,0.995
67,2.4396,3.65,25.0,0.995
68,2.4384,3.65,25.0,0.995
69,2.4372,3.65,25.0,0.995
70,2.4360,3.65,25.0,0.995
71,2.4348,3.65,25.0,0.995
72,2.4336,3.65,25.0,0.995
73,2.4324,3.65,25.0,0.995
74,2.4312,3.65,25.0,0.995
75,2.4300,3.65,25.0,0.995
76,2.4288,3.65,25.0,0.995
77,2.4276,3.65,25.0,0.995
78,2.4264,3.65,25.0,0.995
79,2.4252,3.65,25.0,0.995
80,2.4240,3.65,25.0,0.995
81,2.4228,3.65,25.0,0.995
82,2.4216,3.65,25.0,0.995
83,2.4204,3.65,25.0,0.995
84,2.4192,3.65,25.0,0.995
85,2.4180,3.65,25.0,0.995
86,2.4168,3.65,25.0,0.995
87,2.4156,3.65,25.0,0.995
88,2.4144,3.65,25.0,0.995
89,2.4132,3.65,25.0,0.995
90,2.4120,3.65,25.0,0.995
91,2.4108,3.65,25.0,0.995
92,2.4096,3.65,25.0,0.995
93,2.4084,3.65,25.0,0.995
94,2.4072,3.65,25.0,0.995
95,2.4060,3.65,25.0,0.995
96,2.4048,3.65,25.0,0.995
97,2.4036,3.65,25.0,0.995
98,2.4024,3.65,25.0,0.995
99,2.4012,3.65,25.0,0.995
100,2.4000,3.65,25.0,0.995
