cycle,capacity_ah,voltage_avg,temperature_c,coulomb_efficiency
1,2.7370,3.715,31.4,0.9896
2,2.7300,3.713,31.5,0.9896
3,2.7230,3.712,31.6,0.9896
4,2.7160,3.711,31.7,0.9895
5,2.7090,3.710,31.8,0.9895
6,2.7020,3.708,32.0,0.9887
7,2.6950,3.698,32.1,0.9887
8,2.6880,3.697,31.7,0.9887
9,2.6675,3.695,31.8,0.9887
10,2.6605,3.694,31.9,0.9886
11,2.6535,3.693,32.0,0.9886
12,2.6465,3.691,32.2,0.9878
13,2.6395,3.690,32.3,0.9878
14,2.6325,3.680,32.4,0.9878
15,2.6255,3.678,32.5,0.9878
16,2.6185,3.677,32.1,0.9877
17,2.6115,3.676,32.2,0.9877
18,2.5910,3.675,32.4,0.9869
19,2.5840,3.673,32.5,0.9869
20,2.5770,3.672,32.6,0.9869
21,2.5700,3.661,32.7,0.9869
22,2.5630,3.660,32.8,0.9868
23,2.5560,3.659,33.0,0.9868
24,2.5490,3.658,32.6,0.9860
25,2.5420,3.656,32.7,0.9860
26,2.5350,3.655,32.8,0.9860
27,2.5145,3.654,32.9,0.9859
28,2.5075,3.643,33.0,0.9859
29,2.5005,3.642,33.2,0.9859
30,2.4935,3.641,33.3,0.9851
31,2.4865,3.639,33.4,0.9851
32,2.4795,3.638,33.0,0.9851
33,2.4725,3.637,33.1,0.9850
34,2.4655,3.636,33.2,0.9850
35,2.4585,3.625,33.4,0.9850
36,2.4380,3.624,33.5,0.9842
37,2.4310,3.622,33.6,0.9842
38,2.4240,3.621,33.7,0.9842
39,2.4170,3.620,33.8,0.9841
40,2.4100,3.619,33.5,0.9841
41,2.4030,3.617,33.6,0.9841
42,2.3960,3.607,33.7,0.9833
43,2.3890,3.606,33.8,0.9833
44,2.3820,3.604,33.9,0.9833
45,2.3615,3.603,34.0,0.9832
46,2.3545,3.602,34.2,0.9832
47,2.3475,3.600,34.3,0.9832
48,2.3405,3.599,33.9,0.9824
49,2.3335,3.589,34.0,0.9824
50,2.3265,3.587,34.1,0.9824
51,2.3195,3.586,34.2,0.9823
52,2.3125,3.585,34.4,0.9823
53,2.3055,3.584,34.5,0.9823
54,2.2850,3.582,34.6,0.9815
55,2.2780,3.581,34.7,0.9815
56,2.2710,3.570,34.3,0.9815
57,2.2640,3.569,34.4,0.9815
58,2.2570,3.568,34.6,0.9814
59,2.2500,3.567,34.7,0.9814
60,2.2430,3.565,34.8,0.9806
61,2.2360,3.564,34.9,0.9806
62,2.2290,3.563,35.0,0.9806
63,2.2085,3.552,35.2,0.9806
64,2.2015,3.551,34.8,0.9805
65,2.1945,3.550,34.9,0.9805
66,2.1875,3.548,35.0,0.9797
67,2.1805,3.547,35.1,0.9797
68,2.1735,3.546,35.2,0.9797
69,2.1665,3.545,35.4,0.9797
70,2.1595,3.534,35.5,0.9796
71,2.1525,3.533,35.6,0.9796
72,2.1320,3.531,35.2,0.9788
73,2.1250,3.530,35.3,0.9788
74,2.1180,3.529,35.4,0.9788
75,2.1110,3.528,35.6,0.9788
76,2.1040,3.526,35.7,0.9787
77,2.0970,3.516,35.8,0.9787
78,2.0900,3.515,35.9,0.9779
79,2.0830,3.513,36.0,0.9779
80,2.0760,3.512,35.6,0.9779
81,2.0555,3.511,35.8,0.9778
82,2.0485,3.509,35.9,0.9778
83,2.0415,3.508,36.0,0.9778
84,2.0345,3.498,36.1,0.9770
85,2.0275,3.496,36.2,0.9770
86,2.0205,3.495,36.4,0.9770
87,2.0135,3.494,36.5,0.9769
88,2.0065,3.493,36.1,0.9769
89,1.9995,3.491,36.2,0.9769
90,1.9790,3.490,36.3,0.9761
91,1.9720,3.479,36.4,0.9761
92,1.9650,3.478,36.6,0.9761
93,1.9580,3.477,36.7,0.9760
94,1.9510,3.476,36.8,0.9760
95,1.9440,3.474,36.9,0.9760
96,1.9370,3.473,36.5,0.9752
97,1.9300,3.472,36.6,0.9752
98,1.9230,3.461,36.8,0.9752
99,1.9025,3.460,36.9,0.9751
100,1.8955,3.459,37.0,0.9751
